name,description,discardable,play-again,type,cost,effects
Brick Shortage,All players lose 8 bricks,true,false,:bricks,0,[{:effected :you :resource :bricks :amount -8} {:effected :other :resource :bricks :amount -8}]
Lucky Cache,"+2 Bricks, +2 Gems, Play again",true,true,:bricks,0,[{:effected :you :resource :bricks :amount 2} {:effected :you :resource :gems :amount 2}]
Friendly Terrain,"+1 Wall, Play again",true,true,:bricks,1,[{:effected :you :resource :wall :amount 1}]
Miners,+1 Quarry,true,false,:bricks,3,[{:effected :you :resource :quarry :amount 1}]
Mother Lode,"If your quarry is less than the enemies, +2 quarry. +1 otherwise.",true,false,:bricks,4,[{:effected :you :resource :quarry :amount [< [:you :quarry] [:other :quarry] 2 1]}]
Dwarven Miners,"+4 Wall, +1 Quarry",true,false,:bricks,7,[{:effected :you :resource :wall :amount 4} {:effected :you :resource :quarry :amount 1}]
Work Overtime,"+5 Wall, -6 Gems",true,false,:bricks,2,[{:effected :you :resource :wall :amount 5} {:effected :you :resource :gems :amount -6}]
Copying The Tech,"If your quarry is less than enemies, set yours to theirs",true,false,:bricks,5,[{:effected :you :resource :quarry :amount [< [:you :quarry] [:other :quarry] [:other :quarry] [:you :quarry]] :set true}]
Basic Wall,+3 Wall,true,false,:bricks,2,[{:effected :you :resource :wall :amount 3}]
Sturdy Wall,+4 Wall,true,false,:bricks,3,[{:effected :you :resource :wall :amount 4}]
Innovations,"+1 to all players' quarrys, +4 gems",true,false,:bricks,2,[{:effected :you :resource :quarry :amount 1} {:effected :other :resource :quarry :amount 1} {:effected :you :resource :gems :amount 4}]
Foundations,"If you have no wall, +6 Wall, otherwise +3 Wall",true,false,:bricks,3,[{:effected :you :resource :wall :amount [= [:you :wall] 0 6 3]}]
Tremors,All walls take 5 damage. Play Again,true,true,:bricks,7,[{:effected :you :resource :wall :amount -5} {:effected :other :resource :wall :amount -5}]
Secret Room,+1 Magic. Play Again,true,true,:bricks,8,[{:effected :you :resource :magic :amount 1}]
Earthquake,-1 to all players' quarrys,true,false,:bricks,0,[{:effected :you :resource :quarry :amount -1} {:effected :other :resource :quarry :amount -1}]
Big Wall,+6 Wall,true,false,:bricks,5,[{:effected :you :resource :wall :amount 6}]
Collapse!,-1 Enemy quarry,true,false,:bricks,4,[{:effected :other :resource :quarry :amount -1}]
New Equipment,+2 Quarry,true,false,:bricks,6,[{:effected :you :resource :quarry :amount 2}]
Strip Mine,"-1 Quarry, +10 Wall, +5 Gems",true,false,:bricks,0,[{:effected :you :resource :quarry :amount -1} {:effected :you :resource :gems :amount 5} {:effected :you :resource :wall :amount 10}]
Reinforced Wall,+8 Wall,true,false,:bricks,8,[{:effected :you :resource :wall :amount 8}]
Porticulus,"+1 Zoo, +5 Wall",true,false,:bricks,9,[{:effected :you :resource :wall :amount 5} {:effected :you :resource :zoo :amount 1}]
Crystal Rocks,"+7 Wall, +7 Gems",true,false,:bricks,9,[{:effected :you :resource :wall :amount 7} {:effected :you :resource :gems :amount 7}]
Harmonic Ore,"+6 Wall, +3 Tower",true,false,:bricks,11,[{:effected :you :resource :wall :amount 6} {:effected :you :resource :tower :amount 3}]
Mondo Wall,+12 Wall,true,false,:bricks,13,[{:effected :you :resource :wall :amount 12}]
Focused Design,"+8 Wall, +5 Tower",true,false,:bricks,15,[{:effected :you :resource :wall :amount 8} {:effected :you :resource :tower :amount 5}]
Great Wall,+15 Wall,true,false,:bricks,16,[{:effected :you :resource :wall :amount 15}]
